participant.label,round 1_contribute,round 2_contribute,round 3_contribute,round 4_contribute,round 5_contribute,round 6_contribute,round 7_contribute,round 8_contribute,round 9_contribute,round 10_contribute,round 1_mpcr,round 2_mpcr,round 3_mpcr,round 4_mpcr,round 5_mpcr,round 6_mpcr,round 7_mpcr,round 8_mpcr,round 9_mpcr,round 10_mpcr,round 1_payoff,round 2_payoff,round 3_payoff,round 4_payoff,round 5_payoff,round 6_payoff,round 7_payoff,round 8_payoff,round 9_payoff,round 10_payoff,round 1_total_contribution,round 2_total_contribution,round 3_total_contribution,round 4_total_contribution,round 5_total_contribution,round 6_total_contribution,round 7_total_contribution,round 8_total_contribution,round 9_total_contribution,round 10_total_contribution,round 1_id_subsession,round 2_id_subsession,round 3_id_subsession,round 4_id_subsession,round 5_id_subsession,round 6_id_subsession,round 7_id_subsession,round 8_id_subsession,round 9_id_subsession,round 10_id_subsession,alpha_med,beta_med,gender,age,affiliation,group_type,round 1_max_contribute,round 1_max_payoff,round 2_max_contribute,round 2_max_payoff,round 3_max_contribute,round 3_max_payoff,round 4_max_contribute,round 4_max_payoff,round 5_max_contribute,round 5_max_payoff,round 6_max_contribute,round 6_max_payoff,round 7_max_contribute,round 7_max_payoff,round 8_max_contribute,round 8_max_payoff,round 9_max_contribute,round 9_max_payoff,round 10_max_contribute,round 10_max_payoff,round 1_max_c_and_p,round 2_max_c_and_p,round 3_max_c_and_p,round 4_max_c_and_p,round 5_max_c_and_p,round 6_max_c_and_p,round 7_max_c_and_p,round 8_max_c_and_p,round 9_max_c_and_p,round 10_max_c_and_p
baseSUB01,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,11.8,11.8,11.2,10.6,10.6,11.2,10,11.2,10,11.8,3,3,2,1,1,2,0,2,0,3,3,5,2,4,1,2,2,7,2,6,-0.0215,0.0555,2,23,10,base,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0
baseSUB02,4,3,3,3,2,1,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,10.2,14.8,13,11.8,12.8,9.6,10,10,10,11.2,7,13,10,8,8,1,0,0,0,2,1,2,8,6,6,5,4,4,8,5,-0.0215,0.0555,1,22,12,base,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0
baseSUB03,0,0,1,2,0,0,1,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,13,12.4,12.6,12.2,10,11.2,9.6,10,10.6,11.2,5,4,6,7,0,2,1,0,1,2,4,8,4,7,7,7,6,5,5,5,-0.0215,0.2365,0,23,10,base,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
baseSUB04,3,3,2,2,1,0,0,0,0,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,17.2,15.4,12.8,12.8,9.6,10,10,10,16,7.2,17,14,8,8,1,0,0,0,10,12,7,1,1,6,1,1,2,1,7,7,-0.0215,0.0555,0,25,22,base,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0
baseSUB05,8,7,5,5,7,0,2,0,1,2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,12.2,12.6,11,15.2,7.2,10,9.2,10,9.6,15.2,17,16,10,17,7,0,2,0,1,12,7,7,8,1,4,6,3,3,5,7,0.024,0.0555,0,24,22,base,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
baseSUB06,10,10,10,10,5,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,9,6,7.8,10.2,9.2,10,10.6,11.2,11.2,10,15,10,13,17,7,0,1,2,2,0,6,6,3,1,8,1,5,7,4,3,-0.0215,0.0555,1,20,5,base,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1
baseSUB07,5,3,5,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,14,8.8,9.8,11.2,20.8,11.8,10.6,10,10.6,10,15,3,8,2,18,3,1,0,1,0,6,5,1,3,5,4,1,5,5,4,-0.0215,0.0555,0,25,22,base,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1
baseSUB08,0,0,2,3,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,19,17.8,14,14.8,12.4,10,10.6,10,10,10,15,13,10,13,4,0,1,0,0,0,6,2,8,2,2,6,6,5,2,4,0.024,-0.0715,0,22,27,base,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1
baseSUB09,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,14.2,16,17.8,12.4,13,12.4,10,10,10,10,7,10,13,4,5,4,0,0,0,0,1,6,7,5,3,3,7,3,8,4,-0.0215,0.0555,0,22,10,base,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
baseSUB10,3,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,8.8,16,17.8,11.2,14.8,11.2,10,10,11.2,10,3,10,13,2,8,2,0,0,2,0,3,6,3,3,6,7,7,4,6,1,-0.0215,0.0555,1,23,22,base,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
